Size	Connectance	Basal_p	Network	Species	Persistence	in_Degree	out_Degree	STL	m12	m36	m38	m6	p(12, 0, 1)	p(12, 1, 0)	p(12, 1, 1)	p(36, 0, 1)	p(36, 2, 0)	p(38, 0, 2)	p(38, 1, 1)	p(38, 2, 0)	p(6, 0, 2)	p(6, 1, 0)
260	0.024	0.0	kongsfjorden	"sp124"	0.76869	2	6	2	58	65	13	96	0	53	5	55	10	1	7	5	0	96
260	0.024	0.0	kongsfjorden	"sp193"	0.75082	11	3	2	57	325	24	138	21	9	27	324	1	16	6	2	39	99
260	0.024	0.0	kongsfjorden	"sp2"	0.73395	16	3	2	45	321	67	186	21	13	11	318	3	30	37	0	90	96
260	0.024	0.0	kongsfjorden	"sp241"	0.80869	1	3	2	12	169	2	95	0	9	3	168	1	0	0	2	0	95
260	0.024	0.0	kongsfjorden	"sp177"	0.72473	27	4	2	232	333	95	412	132	9	91	332	1	73	17	5	278	134
260	0.024	0.0	kongsfjorden	"sp83"	0.89949	0	6	1	53	12	3	140	0	53	0	0	12	0	0	3	0	140
260	0.024	0.0	kongsfjorden	"sp190"	0.80914	2	11	2	43	289	40	217	0	35	8	260	29	0	14	26	1	216
260	0.024	0.0	kongsfjorden	"sp240"	0.81047	1	3	2	12	169	2	95	0	9	3	168	1	0	0	2	0	95
260	0.024	0.0	kongsfjorden	"sp12"	0.6716	4	4	3	35	47	9	144	20	3	12	46	1	0	4	5	6	138
260	0.024	0.0	kongsfjorden	"sp93"	0.89891	0	6	1	53	12	3	140	0	53	0	0	12	0	0	3	0	140
260	0.024	0.0	kongsfjorden	"sp76"	0.80859	2	1	2	5	274	0	78	0	3	2	274	0	0	0	0	1	77
260	0.024	0.0	kongsfjorden	"sp17"	0.81055	3	2	2	10	331	2	44	0	6	4	330	1	0	2	0	3	41
260	0.024	0.0	kongsfjorden	"sp256"	0.81061	1	2	2	25	167	2	53	0	24	1	167	0	0	1	1	0	53
260	0.024	0.0	kongsfjorden	"sp221"	0.80926	3	2	2	10	331	2	44	0	6	4	330	1	0	2	0	3	41
260	0.024	0.0	kongsfjorden	"sp219"	0.69088	11	4	3	83	60	17	185	47	3	33	59	1	1	11	5	54	131
260	0.024	0.0	kongsfjorden	"sp188"	0.80758	2	7	2	32	284	11	210	0	24	8	268	16	0	6	5	1	209
260	0.024	0.0	kongsfjorden	"sp179"	0.73896	7	14	2	145	295	55	251	30	17	98	245	50	14	0	41	7	244
260	0.024	0.0	kongsfjorden	"sp67"	0.89939	0	6	1	53	12	3	140	0	53	0	0	12	0	0	3	0	140
260	0.024	0.0	kongsfjorden	"sp108"	0.81106	3	10	2	39	350	27	133	0	31	8	310	40	0	22	5	3	130
260	0.024	0.0	kongsfjorden	"sp235"	0.80905	2	6	2	42	279	10	122	0	38	4	266	13	0	8	2	1	121
260	0.024	0.0	kongsfjorden	"sp27"	0.80774	2	3	2	17	275	2	132	0	13	4	272	3	0	2	0	1	131
260	0.024	0.0	kongsfjorden	"sp165"	0.81021	2	3	2	14	229	0	39	0	8	6	226	3	0	0	0	1	38
260	0.024	0.0	kongsfjorden	"sp56"	0.72734	58	3	2	280	347	201	1538	138	13	129	345	2	155	45	1	1498	40
260	0.024	0.0	kongsfjorden	"sp36"	0.80948	2	8	2	66	230	24	79	0	60	6	216	14	0	10	14	1	78
260	0.024	0.0	kongsfjorden	"sp41"	0.6276	1	0	4	21	13	0	0	21	0	0	13	0	0	0	0	0	0
260	0.024	0.0	kongsfjorden	"sp131"	0.71817	19	5	3	159	26	34	301	84	0	75	24	2	6	20	8	165	136
260	0.024	0.0	kongsfjorden	"sp182"	0.77002	8	1	2	7	330	12	93	0	3	4	330	0	8	4	0	20	73
