"Network" "S" "C" "Disturbance" "Motif" "Motif_slope"
"12" "50" "0.02" "0.8" "Omnivory" "-0.382933944425455"
"12" "50" "0.02" "0.8" "Chain" "-0.213467445326442"
"12" "50" "0.02" "0.8" "Apparent" "0.163907604314959"
"12" "50" "0.02" "0.8" "Direct" "0.248750608612839"
"12" "50" "0.02" "1" "Omnivory" "-0.417919711034202"
"12" "50" "0.02" "1" "Chain" "-0.313756936126383"
"12" "50" "0.02" "1" "Apparent" "0.255900164299039"
"12" "50" "0.02" "1" "Direct" "0.248445740073137"
"13" "50" "0.02" "0" "Omnivory" "0.0941689979536816"
"13" "50" "0.02" "0" "Chain" "-0.128409064755196"
"13" "50" "0.02" "0" "Apparent" "-0.316218351137252"
"13" "50" "0.02" "0" "Direct" "0.506478012079043"
"13" "50" "0.02" "0.2" "Omnivory" "-0.0782428849548209"
"13" "50" "0.02" "0.2" "Chain" "-0.111522686301151"
"13" "50" "0.02" "0.2" "Apparent" "-0.233082623172728"
"13" "50" "0.02" "0.2" "Direct" "0.466950043885349"
"13" "50" "0.02" "0.4" "Omnivory" "-0.185615536620583"
"13" "50" "0.02" "0.4" "Chain" "-0.153890268637878"
"13" "50" "0.02" "0.4" "Apparent" "-0.145341412659959"
"13" "50" "0.02" "0.4" "Direct" "0.452613777715265"
"13" "50" "0.02" "0.6" "Omnivory" "-0.265721281871913"
"13" "50" "0.02" "0.6" "Chain" "-0.229538573044902"
"13" "50" "0.02" "0.6" "Apparent" "-0.0568710738403226"
"13" "50" "0.02" "0.6" "Direct" "0.458571398236532"
"13" "50" "0.02" "0.8" "Omnivory" "-0.351643909862203"
"13" "50" "0.02" "0.8" "Chain" "-0.328421844298784"
"13" "50" "0.02" "0.8" "Apparent" "0.0416744891555019"
"13" "50" "0.02" "0.8" "Direct" "0.477552621726849"
"13" "50" "0.02" "1" "Omnivory" "-0.396699705428579"
"13" "50" "0.02" "1" "Chain" "-0.440317459049634"
"13" "50" "0.02" "1" "Apparent" "0.127104280006233"
"13" "50" "0.02" "1" "Direct" "0.502195634885878"
"14" "50" "0.02" "0" "Omnivory" "-0.455213024470758"
"14" "50" "0.02" "0" "Chain" "-0.101792343619661"
"14" "50" "0.02" "0" "Apparent" "-0.135929524664408"
"14" "50" "0.02" "0" "Direct" "0.635645467864204"
"14" "50" "0.02" "0.2" "Omnivory" "-0.482677779403968"
"14" "50" "0.02" "0.2" "Chain" "-0.128913755445446"
"14" "50" "0.02" "0.2" "Apparent" "-0.0659039604048642"
"14" "50" "0.02" "0.2" "Direct" "0.581921347753694"
"14" "50" "0.02" "0.4" "Omnivory" "-0.492384931309554"
"14" "50" "0.02" "0.4" "Chain" "-0.185384038393594"
"14" "50" "0.02" "0.4" "Apparent" "0.0145867527824883"
"14" "50" "0.02" "0.4" "Direct" "0.540207268359257"
"14" "50" "0.02" "0.6" "Omnivory" "-0.42998530170168"
"14" "50" "0.02" "0.6" "Chain" "-0.267652611368501"
"14" "50" "0.02" "0.6" "Apparent" "0.082845219541469"
"14" "50" "0.02" "0.6" "Direct" "0.50245982839151"
"14" "50" "0.02" "0.8" "Omnivory" "-0.368821484822116"
"14" "50" "0.02" "0.8" "Chain" "-0.357390186820216"
"14" "50" "0.02" "0.8" "Apparent" "0.151729531372161"
"14" "50" "0.02" "0.8" "Direct" "0.473502254242976"
"14" "50" "0.02" "1" "Omnivory" "-0.314642024890637"
"14" "50" "0.02" "1" "Chain" "-0.45183892985695"
"14" "50" "0.02" "1" "Apparent" "0.229271899080588"
"14" "50" "0.02" "1" "Direct" "0.440795445974819"
"15" "50" "0.02" "0" "Omnivory" "-0.179864266892844"
"15" "50" "0.02" "0" "Chain" "0.0948519283058183"
"15" "50" "0.02" "0" "Apparent" "-0.144476386207945"
"15" "50" "0.02" "0" "Direct" "0.285443530310498"
"15" "50" "0.02" "0.2" "Omnivory" "-0.267729732339461"
"15" "50" "0.02" "0.2" "Chain" "0.0763925529015782"
"15" "50" "0.02" "0.2" "Apparent" "-0.0778236991907075"
"15" "50" "0.02" "0.2" "Direct" "0.254836763749243"
"15" "50" "0.02" "0.4" "Omnivory" "-0.309814359302942"
"15" "50" "0.02" "0.4" "Chain" "0.0172504786157199"
"15" "50" "0.02" "0.4" "Apparent" "-0.0166045526215338"
"15" "50" "0.02" "0.4" "Direct" "0.252586271330656"
"15" "50" "0.02" "0.6" "Omnivory" "-0.322119533414885"
"15" "50" "0.02" "0.6" "Chain" "-0.0627761975134551"
"15" "50" "0.02" "0.6" "Apparent" "0.0400562846900984"
"15" "50" "0.02" "0.6" "Direct" "0.263186940913578"
"15" "50" "0.02" "0.8" "Omnivory" "-0.3125179560104"
"15" "50" "0.02" "0.8" "Chain" "-0.165669239444101"
"15" "50" "0.02" "0.8" "Apparent" "0.0994869429581853"
"15" "50" "0.02" "0.8" "Direct" "0.28118028787448"
"15" "50" "0.02" "1" "Omnivory" "-0.303685907951457"
"15" "50" "0.02" "1" "Chain" "-0.282361516282011"
"15" "50" "0.02" "1" "Apparent" "0.163560535896907"
"15" "50" "0.02" "1" "Direct" "0.307115434797454"
